day,interval,flow
2015-05-22,0,1116.0
2015-05-22,300,936.0
2015-05-22,600,1104.0
2015-05-22,900,972.0
2015-05-22,1200,972.0
2015-05-22,1500,1080.0
2015-05-22,1800,760.0
2015-05-22,2100,928.4745700000001
2015-05-22,2400,1034.0096
2015-05-22,2700,972.0
2015-05-22,3000,852.0
2015-05-22,3300,936.0
2015-05-22,3600,888.0
2015-05-22,3900,816.0
2015-05-22,4200,672.0
2015-05-22,4500,684.0
2015-05-22,4800,768.0
2015-05-22,5100,804.0
2015-05-22,5400,792.0
2015-05-22,5700,600.0
2015-05-22,6000,780.0
2015-05-22,6300,648.0
2015-05-22,6600,720.0
2015-05-22,6900,648.0
2015-05-22,7200,516.0
2015-05-22,7500,564.0
2015-05-22,7800,720.0
2015-05-22,8100,528.0
2015-05-22,8400,636.0
2015-05-22,8700,672.0
2015-05-22,9000,588.0
2015-05-22,9300,492.0
2015-05-22,9600,468.0
2015-05-22,9900,504.0
2015-05-22,10200,384.0
2015-05-22,10500,336.0
2015-05-22,10800,624.0
2015-05-22,11100,408.0
2015-05-22,11400,444.0
2015-05-22,11700,420.0
2015-05-22,12000,324.0
2015-05-22,12300,480.0
2015-05-22,12600,337.22033
2015-05-22,12900,336.0
2015-05-22,13200,312.0
2015-05-22,13500,372.0
2015-05-22,13800,456.0
2015-05-22,14100,444.0
2015-05-22,14400,156.0
2015-05-22,14700,0.0
2015-05-22,15000,0.0
2015-05-22,15300,12.0
2015-05-22,15600,0.0
2015-05-22,15900,0.0
2015-05-22,16200,0.0
2015-05-22,16500,0.0
2015-05-22,16800,0.0
2015-05-22,17100,0.0
2015-05-22,17400,12.0
2015-05-22,17700,0.0
2015-05-22,18000,0.0
2015-05-22,18300,24.0
2015-05-22,18600,0.0
2015-05-22,18900,0.0
2015-05-22,19200,0.0
2015-05-22,19500,0.0
2015-05-22,19800,0.0
2015-05-22,20100,48.0
2015-05-22,20400,36.0
2015-05-22,20700,48.0
2015-05-22,21000,24.0
2015-05-22,21300,0.0
2015-05-22,21600,0.0
2015-05-22,21900,0.0
2015-05-22,22200,120.0
2015-05-22,22500,708.0
2015-05-22,22800,1044.0
2015-05-22,23100,733.22033
2015-05-22,23400,828.0
2015-05-22,23700,1037.49152
2015-05-22,24000,840.0
2015-05-22,24300,1068.0
2015-05-22,24600,1320.0
2015-05-22,24900,1116.0
2015-05-22,25200,888.0
2015-05-22,25500,1272.0
2015-05-22,25800,1011.6610000000001
2015-05-22,26100,1200.0
2015-05-22,26400,1212.0
2015-05-22,26700,1164.0
2015-05-22,27000,1389.7627400000001
2015-05-22,27300,1356.0
2015-05-22,27600,1260.0
2015-05-22,27900,1308.0
2015-05-22,28200,1450.75862
2015-05-22,28500,1239.66104
2015-05-22,28800,1680.0
2015-05-22,29100,1320.0
2015-05-22,29400,1296.0
2015-05-22,29700,1356.0
2015-05-22,30000,1320.0
2015-05-22,30300,1176.0
2015-05-22,30600,1336.27118
2015-05-22,30900,1452.0
2015-05-22,31200,1428.0
2015-05-22,31500,1260.0
2015-05-22,31800,1404.0
2015-05-22,32100,1120.67798
2015-05-22,32400,1368.0
2015-05-22,32700,1536.0
2015-05-22,33000,1392.0
2015-05-22,33300,1109.49154
2015-05-22,33600,1320.0
2015-05-22,33900,1329.7627400000001
2015-05-22,34200,1116.0
2015-05-22,34500,1428.0
2015-05-22,34800,1248.0
2015-05-22,35100,1272.0
2015-05-22,35400,1262.8474700000002
2015-05-22,35700,1284.0
2015-05-22,36000,1152.0
2015-05-22,36300,1119.8644199999999
2015-05-22,36600,1260.0
2015-05-22,36900,1179.0508300000001
2015-05-22,37200,1404.0
2015-05-22,37500,1229.08476
2015-05-22,37800,908.54236
2015-05-22,38100,1200.0
2015-05-22,38400,1272.0
2015-05-22,38700,1409.69492
2015-05-22,39000,1203.8644199999999
2015-05-22,39300,1224.0
2015-05-22,39600,1392.0
2015-05-22,39900,900.0
2015-05-22,40200,1452.0
2015-05-22,40500,1128.0
2015-05-22,40800,1116.0
2015-05-22,41100,1140.0
2015-05-22,41400,1323.4576200000001
2015-05-22,41700,1308.0
2015-05-22,42000,1068.0
2015-05-22,42300,1128.0
2015-05-22,42600,1152.0
2015-05-22,42900,1164.0
2015-05-22,43200,1260.0
2015-05-22,43500,900.0
2015-05-22,43800,1164.0
2015-05-22,44100,948.0
2015-05-22,44400,1284.0
2015-05-22,44700,984.0
2015-05-22,45000,1104.0
2015-05-22,45300,1212.0
2015-05-22,45600,1032.0
2015-05-22,45900,1056.0
2015-05-22,46200,1056.0
2015-05-22,46500,1092.0
2015-05-22,46800,1137.96612
2015-05-22,47100,1068.0
2015-05-22,47400,1008.0
2015-05-22,47700,888.0
2015-05-22,48000,987.86438
2015-05-22,48300,984.0
2015-05-22,48600,1263.66102
2015-05-22,48900,888.0
2015-05-22,49200,1082.64407
2015-05-22,49500,1032.0
2015-05-22,49800,1168.0678
2015-05-22,50100,1212.0
2015-05-22,50400,1092.0
2015-05-22,50700,1068.0
2015-05-22,51000,1176.0
2015-05-22,51300,948.0
2015-05-22,51600,1104.0
2015-05-22,51900,972.0
2015-05-22,52200,1032.0
2015-05-22,52500,1200.0
2015-05-22,52800,955.0345
2015-05-22,53100,864.0
2015-05-22,53400,1224.0
2015-05-22,53700,984.0
2015-05-22,54000,972.0
2015-05-22,54300,1008.0
2015-05-22,54600,1248.0
2015-05-22,54900,1025.6949
2015-05-22,55200,964.2712
2015-05-22,55500,972.0
2015-05-22,55800,864.0
2015-05-22,56100,1000.47458
2015-05-22,56400,828.0
2015-05-22,56700,924.0
2015-05-22,57000,1140.0
2015-05-22,57300,1056.0
2015-05-22,57600,1128.0
2015-05-22,57900,1140.0
2015-05-22,58200,1212.0
2015-05-22,58500,936.0
2015-05-22,58800,876.0
2015-05-22,59100,1404.0
2015-05-22,59400,1336.47458
2015-05-22,59700,1020.0
2015-05-22,60000,1248.0
2015-05-22,60300,1056.0
2015-05-22,60600,1140.0
2015-05-22,60900,1224.0
2015-05-22,61200,1152.0
2015-05-22,61500,1224.0
2015-05-22,61800,960.0
2015-05-22,62100,1224.0
2015-05-22,62400,1224.0
2015-05-22,62700,1464.0
2015-05-22,63000,1239.25423
2015-05-22,63300,1032.0
2015-05-22,63600,1236.0
2015-05-22,63900,1224.0
2015-05-22,64200,1296.0
2015-05-22,64500,1308.0
2015-05-22,64800,1224.0
2015-05-22,65100,1260.0
2015-05-22,65400,1608.0
2015-05-22,65700,1656.0
2015-05-22,66000,1332.0
2015-05-22,66300,1260.0
2015-05-22,66600,1556.5423799999999
2015-05-22,66900,1212.0
2015-05-22,67200,1432.47458
2015-05-22,67500,1373.08474
2015-05-22,67800,1488.0
2015-05-22,68100,1512.0
2015-05-22,68400,1428.0
2015-05-22,68700,1368.0
2015-05-22,69000,1608.0
2015-05-22,69300,1392.0
2015-05-22,69600,1452.0
2015-05-22,69900,1176.0
2015-05-22,70200,1260.0
2015-05-22,70500,1344.0
2015-05-22,70800,1200.0
2015-05-22,71100,1032.0
2015-05-22,71400,1140.0
2015-05-22,71700,1272.0
2015-05-22,72000,1188.0
2015-05-22,72300,1212.0
2015-05-22,72600,1248.0
2015-05-22,72900,1056.0
2015-05-22,73200,1092.0
2015-05-22,73500,1284.0
2015-05-22,73800,1239.25424
2015-05-22,74100,1116.0
2015-05-22,74400,1368.0
2015-05-22,74700,1056.0
2015-05-22,75000,1188.0
2015-05-22,75300,1056.0
2015-05-22,75600,819.25422
2015-05-22,75900,408.0
2015-05-22,76200,444.0
2015-05-22,76500,636.0
2015-05-22,76800,756.0
2015-05-22,77100,710.23729
2015-05-22,77400,660.0
2015-05-22,77700,492.0
2015-05-22,78000,696.0
2015-05-22,78300,708.0
2015-05-22,78600,612.0
2015-05-22,78900,672.0
2015-05-22,79200,720.0
2015-05-22,79500,576.0
2015-05-22,79800,612.0
2015-05-22,80100,372.0
2015-05-22,80400,660.0
2015-05-22,80700,624.0
2015-05-22,81000,638.64406
2015-05-22,81300,576.0
2015-05-22,81600,840.0
2015-05-22,81900,840.0
2015-05-22,82200,420.0
2015-05-22,82500,816.0
2015-05-22,82800,675.0
2015-05-22,83100,780.0
2015-05-22,83400,648.0
2015-05-22,83700,756.0
2015-05-22,84000,756.0
2015-05-22,84300,444.0
2015-05-22,84600,372.81355
2015-05-22,84900,528.0
2015-05-22,85200,456.0
2015-05-22,85500,456.0
2015-05-22,85800,456.0
2015-05-22,86100,588.0
